Plant|Supplier|CompanyCode|PoNumber|PoItem|DeletionIndicator|Material|StorageLocaction|OrderQuantity|OrderUnit|CompletelyDelivered|ItemCreationDate|PurchaseReq|PurchasReqItem|Division|PoType
850A|FRFAAQ0|850A|1200000845|00010||LE617600|SL01|13680.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAQ0|850A|1200000845|00020||LE615100|SL01|12255.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000846|00010||LE798700|SL01|400000.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000858|00010||LE617300|SL01|855.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000859|00010||LE617900|SL01|17820.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000860|00010||LE617600|SL01|24.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000860|00020||LE615100|SL01|180.000|ST||26/07/2023||00000|30|ZMT1
850A|DEFAAR0|850A|4500058807|00071||S0850902|SL82|15.000|ST||26/07/2023|0028819496|00430|30|YTPL
850A|DEFAAR0|850A|4500058807|00081||S3354800|SL82|6.000|ST||26/07/2023|0028819496|00440|30|YTPL
850A|DEFAAR0|850A|4500058807|00111||S0804703|SL82|22.000|ST||26/07/2023|0028819496|00450|30|YTPL
850A|DEFAAR0|850A|4500058807|00131||S4536101|SL82|4.000|ST||26/07/2023|0028819496|00460|30|YTPL
850A|DEFAAR0|850A|4500058807|00141||S4693100|SL82|8.000|ST||26/07/2023|0028819496|00470|30|YTPL
850A|DEFAAR0|850A|4500058807|00251||S1243106|SL82|1.000|ST||26/07/2023|0028819496|00480|30|YTPL
850A|DEFAAR0|850A|4500058807|00281||S0643104|SL82|3.000|ST||26/07/2023|0028819496|00490|30|YTPL
850A|DEFAAR0|850A|4500058807|00291||S2134602|SL82|1.000|ST||26/07/2023|0028819496|00500|30|YTPL
850A|DEFAAR0|850A|4500058807|00331||S0496005|SL82|1.000|ST||26/07/2023|0028819496|00510|30|YTPL
147A|BEC0AA0|147A|4500061523|00071||D3478101|SL82|1.000|ST||26/07/2023|0030268172|01490|10|YTPL
147A|BEC0AA0|147A|4500061523|00101||D3410001|SL82|1.000|ST||26/07/2023|0030268172|01500|10|YTPL
147A|BEC0AA0|147A|4500061523|00111||D3409701|SL82|1.000|ST||26/07/2023|0030268172|01510|10|YTPL
147A|BEC0AA0|147A|4500061523|00161||D3478701|SL82|1.000|ST||26/07/2023|0030268172|01520|10|YTPL
147A|BEC0AA0|147A|4500061523|00211||D3408601|SL82|1.000|ST||26/07/2023|0030268172|01530|10|YTPL
147A|BEC0AA0|147A|4500061523|00351||D3500602|SL82|1.000|ST||26/07/2023|0030268172|01540|10|YTPL
147A|BEC0AA0|147A|4500061523|00371||D3500702|SL82|1.000|ST||26/07/2023|0030268172|01550|10|YTPL
147A|BEC0AA0|147A|4500061523|00381||D3502102|SL82|1.000|ST||26/07/2023|0030268172|01560|10|YTPL
147A|BEC0AA0|147A|4500061523|00391||D3501202|SL82|1.000|ST||26/07/2023|0030268172|01570|10|YTPL
147A|BEC0AA0|147A|4500061523|00411||D3500902|SL82|1.000|ST||26/07/2023|0030268172|01580|10|YTPL
147A|BEC0AA0|147A|4500061523|00421||D3501302|SL82|1.000|ST||26/07/2023|0030268172|01590|10|YTPL
147A|BEC0AA0|147A|4500061523|00431||D3501502|SL82|1.000|ST||26/07/2023|0030268172|01600|10|YTPL
147A|BEC0AA0|147A|4500061523|00441||D3501002|SL82|1.000|ST||26/07/2023|0030268172|01610|10|YTPL
147A|BEC0AA0|147A|4500061523|00461||D3500802|SL82|1.000|ST||26/07/2023|0030268172|01620|10|YTPL
147A|BEC0AA0|147A|4500061523|00471||D3502501|SL82|1.000|ST||26/07/2023|0030268172|01630|10|YTPL
147A|BEC0AA0|147A|4500061523|00541||D3221503|SL82|1.000|ST||26/07/2023|0030268172|01640|10|YTPL
147A|BEC0AA0|147A|4500061523|00551||D3139904|SL82|1.000|ST||26/07/2023|0030268172|01650|10|YTPL
147A|BEC0AA0|147A|4500061523|00571||D3535702|SL82|1.000|ST||26/07/2023|0030268172|01660|10|YTPL
147A|BEC0AA0|147A|4500061523|00591||D3535902|SL82|1.000|ST||26/07/2023|0030268172|01670|10|YTPL
